port2,level2,country,direction,n,port,n_ship_voyages
acapulco,NA,mexico,destination,2,ACAPULCO,2
accra,NA,ghana,origin,5,ACCRA,2
accra,NA,ghana,origin,5,ACARA,1
accra,NA,ghana,origin,5,ACCRAH,1
accra,NA,ghana,origin,5,ACCRAW,1
accra,NA,ghana,destination,4,DIXCOVE,4
accra,NA,ghana,destination,1,CAPE APPALONIA,1
aden,NA,yemen,destination,2,GULF OF ADEN,2
aden,NA,yemen,origin,1,ADEN,1
algiers,NA,algeria,destination,1,ALGIERS,1
algiers,NA,algeria,origin,1,ALGECIRAS,1
all saints bay,NA,brazil,destination,1,ALL SAINTS BAY,1
all saints bay,NA,brazil,destination,1,ALLERHEILIGEN BAAIJ,1
all saints bay,NA,brazil,origin,1,BAHIA,1
allicanten,NA,NA,origin,1,ALLICANTEN,1
ambon,NA,indonesia,origin,2,AMBOYNA,2
ambon,NA,indonesia,origin,1,AMBOINE,1
américa,NA,NA,destination,1,AMÉRICA,1
américa,NA,NA,destination,1,AMÉRICA MERIDIONAL,1
américa,NA,NA,destination,1,AMÉRICA SEPTENTRIONAL(NOKA),1
américa,NA,NA,destination,1,COSTA FIRME DE LA AMÉRICA,1
amsterdam,NA,netherlands,origin,8,AMSTERDAM,8
amsterdam,NA,netherlands,origin,1,URK,1
anchuthengu,kerala,india,origin,7,ANJENGO,7
anchuthengu,kerala,india,origin,1,ANJANGO,1
anchuthengu,kerala,india,origin,1,ANJANGO ROAD,1
angola,NA,angola,destination,1,ANGOLA,1
anguilla,NA,st kitts and nevis,origin,4,ANGUILLA,4
anguilla,NA,anguilla,origin,1,CUL DE SAC,1
anna de chaces,NA,NA,origin,1,ANNA DE CHACES,1
annobón,NA,equatorial guinea,origin,3,ANNABONA,3
antigua,NA,antigua,origin,48,ST JOHNS ANTIGUA,2
antigua,NA,antigua,origin,48,ST JOHN'S ANTIGUA,1
antigua,NA,antigua,origin,48,ST JOHNS ON A CRUISE TO BERMUDA AND BACK,1
antigua,NA,antigua,origin,48,ST JOHNS ROAD (ANTIGUA),1
antigua,NA,antigua,origin,48,"ST JOHNS, ANTIGUA",1
antigua,NA,antigua,destination,28,ANTIGUA,27
antigua,NA,antigua,destination,28,ST JOHNS (ANTIGUA),1
antigua,NA,antigua,origin,6,ST JOHNS ANTIGUA,2
antigua,NA,antigua,origin,6,ST JOHN'S ANTIGUA,1
antigua,NA,antigua,origin,6,ST JOHNS ON A CRUISE TO BERMUDA AND BACK,1
antigua,NA,antigua,origin,6,ST JOHNS ROAD (ANTIGUA),1
antigua,NA,antigua,origin,6,"ST JOHNS, ANTIGUA",1
antigua,NA,antigua,destination,3,ANTIGUA,27
antigua,NA,antigua,destination,3,ST JOHNS (ANTIGUA),1
apolonia,NA,ghana,destination,1,APOLONIA,1
aquofort harbour,newfoundland,canada,destination,1,"AQUOFORT HARBOUR, NEWFOUNDLAND",1
ascension island,NA,"british overseas territory of saint helena, ascension and tristan da cunha",origin,5,ASCENSION,5
ascension island,NA,"british overseas territory of saint helena, ascension and tristan da cunha",destination,1,ISLA DE LA ASCENSION,1
avatscha,NA,russia,origin,1,AVATSCHA,1
axim,NA,ghana,origin,2,AXIM,2
axim,NA,ghana,destination,2,GUINEE,2
axim,NA,ghana,destination,1,AXIM FORT,1
axim,NA,ghana,destination,1,GUINNEE,1
axim,NA,ghana,origin,1,GUINNEE (KAAP AXIM),1
axim,NA,ghana,destination,1,GULF OF GUINEE,1
bahamas,NA,bahamas,origin,2,CROOKED ISLAND (BAHAMAS),2
bahamas,NA,bahamas,destination,2,"NASSAU, BAHAMAS",2
bahamas,NA,bahamas,destination,2,NEW PROVIDENCE BAHAMAS,2
bahamas,NA,bahamas,origin,1,BAHAMAS,1
bahamas,NA,bahamas,destination,1,CANAL DE BAHAMA,1
bahamas,NA,bahamas,origin,1,MAYAGUANA (BAHAMAS),1
bahamas,NA,bahamas,destination,1,PROVIDENCE (BAHAMAS),1
bahamas,NA,bahamas,origin,1,EGG ISLAND,1
bali,NA,indonesia,origin,3,BALI,2
bali,NA,indonesia,origin,3,BALI (JAVA),1
bali,NA,indonesia,destination,1,SUMBAVA (E BALI),1
bali,NA,indonesia,origin,1,LOMBOCK,1
bali,NA,indonesia,origin,1,LOMBOCK (NR BALI),1
baltimore,maryland,united states,origin,1,BALTIMORE,1
baltimore,maryland,united states,destination,1,BALTIMORE HARBOUR,1
banda aceh,NA,indonesia,origin,6,ACHEAN,1
banda aceh,NA,indonesia,origin,6,ACHEAN HEAD,1
banda aceh,NA,indonesia,origin,6,"ACHEAN HEAD, SUMATRA",1
banda aceh,NA,indonesia,origin,6,ACHEEN (SUMATRA),1
banda aceh,NA,indonesia,origin,6,"ACHEEN HEAD, SUMATRA",1
banda aceh,NA,indonesia,origin,6,PISANG (SUMATRA),1
banda aceh,NA,indonesia,destination,5,ACHEEN,3
banda aceh,NA,indonesia,destination,5,ACHEAN ROAD,1
banda aceh,NA,indonesia,destination,5,ACHEEN ROAD (SUMATRA),1
banda aceh,sumatra,indonesia,origin,1,MOCA MOCA SUMATRA,1
bandar abbas,NA,iran,origin,1,GAMRON,1
bandar abbas,NA,iran,destination,1,GOMBROON,1
bangkok,NA,thailand,origin,1,ZIAM,1
banjar,NA,indonesia,destination,1,BANJAR ROAD,1
banjarmasin,NA,indonesia,origin,1,RIVER BANJOR,1
banyuwangi,NA,indonesia,origin,1,FORT BANJOEWANGIE,1
barbados,NA,barbados,destination,101,BARBADOS,64
barbados,NA,barbados,destination,101,CARLISLE BAY,13
barbados,NA,barbados,destination,101,BARBADOES,5
barbados,NA,barbados,destination,101,CARLISE BAY,4
barbados,NA,barbados,destination,101,CARLISE BAY BARBADOS,4
barbados,NA,barbados,destination,101,CARLISLE BAY BARBADOS,3
barbados,NA,barbados,destination,101,"CARLISLE BAY, BARBADOS",3
barbados,NA,barbados,destination,101,"CALISLE BAY, BARBADOS",1
barbados,NA,barbados,destination,101,CARLISE BAY BARBADOES,1
barbados,NA,barbados,destination,101,CARLISE BAY VIA FUNCHAL,1
barbados,NA,barbados,destination,101,CARLISLE BAY (BARBADOES),1
barbados,NA,barbados,destination,101,EAST END OF BARBADOS (THEN CARLISLE BAY),1
barbados,NA,barbados,origin,1,BARBADOS (CRUISING),1
barbados,NA,barbados,origin,1,BARBUDA,1
barbados,NA,barbados,origin,1,LA BARBADE,1
bardados,NA,barbados,destination,1,BARDADOS,1
barnstable bay,massachusetts,united states,origin,1,BARNSTABLE BAY,1
bayonne,NA,france,origin,1,BAYONNE,1
beachy head,NA,uk,origin,1,BEACHY HEAD,1
belle île,NA,NA,origin,1,BELLE ISLAND,1
belle isle,NA,domincan republic,origin,1,BELLE ISLE,1
